"id","state","level","name_formal","official_count","election_frequency","term_length","election_expire_date","cdem_tot","crep_tot","odem_tot","orep_tot","retu_tot","wfor_tot","emai_tot","yfcb_tot","ytwi_tot","yins_tot","ylkn_tot"
32,"NC","locality","Charlotte Mayor",1,"2 years","2 years","2019-11-05 00:00:00+00","1","0","1","0","1","0","1","1","1","1","1"
88,"IN","administrativeArea2","Mayor of Indianapolis",1,"4 yrs","","2019-11-05 00:00:00+00","1","0","1","0","1","1","0","1","1","1","0"
179,"OH","locality","Columbus Mayor",1,"","","2019-11-05 00:00:00+00","0","0","0","0","1","0","1","1","1","1","0"
492,"PA","locality","Philadelphia Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","1","0","1","0","1","0","1","1","1","1","0"
515,"WA","locality","Spokane Mayor",1,"","","2019-11-05 00:00:00+00","0","0","0","0","0","1","0","1","1","0","1"
694,"PA","administrativeArea2","Allegheny County Executive",1,"","","2019-11-05 00:00:00+00","1","0","1","0","1","1","1","1","1","1","0"
1450,"LA","administrativeArea1","Louisiana State Senate",39,"4 years","4 years","2019-11-16 00:00:00+00","12","27","15","24","19","1","39","37","17","6","8"
1477,"MS","administrativeArea1","Mississippi State Senate",52,"4 years","4 years","2019-11-05 00:00:00+00","17","35","20","30","38","0","51","43","22","9","17"
1498,"FL","locality","Miami City Commission",5,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","4","0","5","5","4","4","1"
1545,"VA","administrativeArea1","Senate of Virginia",40,"4 years","4 years","2019-11-05 00:00:00+00","21","19","19","20","35","2","40","39","31","20","9"
1571,"WA","locality","Spokane City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","4","0","7","6","6","3","4"
1628,"PA","locality","Harrisburg City Council",7,"","4 years","2019-11-05 00:00:00+00","4","0","4","0","7","0","7","6","3","0","3"
1633,"PA","administrativeArea2","Chester County Commissioners",3,"4 years","4 years","2019-11-05 00:00:00+00","2","1","1","2","1","0","3","3","3","2","2"
1635,"PA","administrativeArea2","Montgomery County Commissioners",3,"4 years","4 years","2019-11-05 00:00:00+00","2","1","2","1","3","0","3","3","3","2","2"
2315,"PA","locality","Philadelphia Register of Wills",1,"","","2019-11-05 00:00:00+00","1","0","0","0","0","0","0","1","1","1","0"
2316,"PA","locality","Philadelphia Sheriff",1,"","","2019-11-05 00:00:00+00","1","0","0","0","0","0","1","1","1","1","0"
2466,"MS","administrativeArea1","Mississippi House of Representatives",122,"4 years","4 years","2019-11-05 00:00:00+00","49","72","48","72","97","0","120","101","29","11","26"
2487,"VA","administrativeArea1","Virginia House of Delegates",100,"2 years","2 years","2019-11-05 00:00:00+00","55","45","48","51","0","0","100","94","84","41","28"
2548,"PA","administrativeArea2","Montgomery County Controller",1,"","","2019-11-05 00:00:00+00","1","0","1","0","1","0","0","1","1","0","1"
2549,"PA","administrativeArea2","Montgomery County District Attorney",1,"","","2019-11-05 00:00:00+00","0","1","0","1","1","0","0","1","1","0","1"
2570,"KY","administrativeArea1","Kentucky Lieutenant Governor",1,"","","2019-11-05 00:00:00+00","1","0","0","1","0","1","0","1","1","1","1"
2637,"CA","locality","San Francisco Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","1","1","1","1","1","0"
2777,"OH","locality","Akron City Council",13,"4 years","4 years","2019-11-05 00:00:00+00","8","0","13","0","8","13","13","12","3","1","5"
